Ticker,Sector,Industry,MarketCap,TrailingPE,ForwardPE,PriceToBook,DividendYield,Beta,ProfitMargin,OperatingMargin,ReturnOnAssets,ReturnOnEquity,RevenueGrowth,DebtToEquity
CNC,Healthcare,Healthcare Plans,30131492864.0,,13.696262,1.4061527,,1.093,,,0.01222,-0.26044,0.051,76.049
CNP,Utilities,Utilities - Regulated Electric,28011536384.0,26.26994,20.567356,2.4465773,2.15,0.461,,,0.02843,0.09561,0.019,215.591
CF,Basic Materials,Agricultural Inputs,15813061632.0,9.272973,8.969317,2.9597998,1.94,0.382,,,0.11338,0.273,0.194,43.847
CRL,Healthcare,Diagnostics & Research,8911029248.0,,15.028872,3.030303,,1.449,,,0.04264,-0.0587,0.012,102.551
SCHW,Financial Services,Capital Markets,159478726656.0,18.230616,12.634457,3.7528136,1.4,0.773,,,0.019709999,0.19083,0.158,120.766
CHTR,Communication Services,Telecom Services,19777511424.0,3.415314,2.8258586,0.9474735,,0.707,,,0.054130003,0.27504998,-0.01,459.525
CVX,Energy,Oil & Gas Integrated,345801129984.0,30.196522,13.81663,1.8688784,4.1,0.472,,,0.0346,0.06638,0.023,23.989
CMG,Consumer Cyclical,Restaurants,41676029952.0,29.80734,23.950642,17.365046,,0.978,,,0.13539,0.49231997,0.074,217.885
CB,Financial Services,Insurance - Property & Casualty,125433954304.0,11.439689,11.055314,1.7027056,1.26,0.421,,,0.03364,0.15433,0.102,31.458
CHD,Consumer Defensive,Household & Personal Products,22658916352.0,31.457237,23.383245,5.4116917,1.29,0.47,,,0.08140001,0.16779,0.002,56.794
CIEN,Technology,Communication Equipment,60615794688.0,142.74,44.51717,20.964457,,1.244,,,0.06664,0.15464,0.395,54.649
CI,Healthcare,Healthcare Plans,73875963904.0,11.17527,8.3484745,1.7506456,2.23,0.302,,,0.04782,0.16268998,0.046,72.805
CINF,Financial Services,Insurance - Property & Casualty,26327681024.0,9.736842,18.534288,1.6744882,2.21,0.584,,,0.05553,0.18735,0.116,5.626
CTAS,Industrials,Specialty Business Services,68363390976.0,36.12051,31.48421,14.271992,1.05,0.934,,,0.15942,0.41303003,0.089,60.943
CSCO,Technology,Communication Equipment,471159111680.0,39.84667,25.027584,9.639545,1.41,1.004,,,0.07337,0.25229,0.12,67.541
C,Financial Services,Banks - Diversified,243999834112.0,17.705446,11.387761,1.2747605,1.68,1.115,,,0.0060900003,0.07649,0.159,
CFG,Financial Services,Banks - Regional,28366921728.0,15.895736,10.463347,1.1877191,2.74,1.021,,,0.00882,0.07739,0.138,
CLX,Consumer Defensive,Household & Personal Products,11584266240.0,15.577236,15.296405,-172.9242,5.18,0.545,,,0.110369995,5.46099,0.001,4876.087
CME,Financial Services,Financial Data & Stock Exchanges,89022701568.0,21.004263,19.074251,3.348783,2.11,0.244,,,0.0155,0.15919,0.144,14.059
CMS,Utilities,Utilities - Regulated Electric,22668521472.0,20.270718,17.587421,2.452622,3.11,0.352,,,0.03131,0.103719994,0.116,189.842
KO,Consumer Defensive,Beverages - Non-Alcoholic,341574090752.0,24.965408,22.790428,10.15737,2.67,0.354,,,0.0951,0.43372002,0.121,124.943
CTSH,Technology,Information Technology Services,20670099456.0,9.479392,7.067298,1.3746895,3.02,0.81,,,0.10438,0.14876,0.058,7.247
COHR,Technology,Scientific & Technical Instruments,76215214080.0,185.50954,47.64339,7.134851,,2.054,,,0.03142,0.04718,0.205,31.093
COIN,Financial Services,Financial Data & Stock Exchanges,43012603904.0,59.802197,34.748367,3.190105,,3.32,,,0.01926,0.06686,-0.308,59.081
CL,Consumer Defensive,Household & Personal Products,71600939008.0,34.682175,22.13334,494.3647,2.37,0.322,,,0.16098,3.6357698,0.084,1640.535
CMCSA,Communication Services,Telecom Services,80125091840.0,4.3980393,5.9273396,0.90886986,5.88,0.658,,,0.04535,0.20918,0.053,106.858
FIX,Industrials,Engineering & Construction,69221294080.0,56.8123,36.812992,107.1866,0.13,1.67,,,0.17266001,0.53294,0.01,45.489
CAG,Consumer Defensive,Packaged Foods,6315370496.0,,8.263118,0.7735584,10.61,-0.042,,,0.04202,-0.00511,-0.019,89.813
COP,Energy,Oil & Gas E&P,131258990592.0,18.261017,11.7167015,2.0337126,3.12,0.106,,,0.05865,0.112840004,-0.053,36.143
ED,Utilities,Utilities - Regulated Electric,39196819456.0,17.935919,16.389729,1.5291716,3.27,0.272,,,0.0317,0.08732,0.062,106.177
STZ,Consumer Defensive,Beverages - Brewers,24314677248.0,14.690947,11.400156,3.017892,2.92,0.384,,,0.08507,0.22636999,-0.113,133.573
CEG,Utilities,Utilities - Independent Power Producers,97867374592.0,23.810598,20.235611,2.965921,0.62,1.091,,,0.04196,0.16104999,0.638,66.428
COO,Healthcare,Medical Instruments & Supplies,12854469632.0,55.855938,13.190917,1.5591882,,0.873,,,0.025190001,0.02853,0.079,33.093
CPRT,Industrials,Specialty Business Services,29120813056.0,18.776398,17.931288,3.189828,,1.002,,,0.11336,0.17607,0.021,1.059
GLW,Technology,Electronic Components,167755530240.0,93.26316,46.554615,14.967365,0.57,1.155,,,0.05375,0.1674,0.2,80.363
CPAY,Technology,Software - Infrastructure,22568163328.0,20.663076,11.281434,6.5053883,,0.869,,,0.061869998,0.32124,0.254,271.343
CTVA,Basic Materials,Agricultural Inputs,52562558976.0,42.48108,19.12924,2.1615005,0.92,0.572,,,0.043270003,0.051370002,0.11,13.64
CSGP,Real Estate,Real Estate Services,12299674624.0,430.28574,16.744963,1.5496218,,0.72,,,-0.00158,0.00303,0.225,14.526
COST,Consumer Defensive,Discount Stores,421947932672.0,47.835598,42.051796,25.523098,0.62,0.868,,,0.086660005,0.29152,0.215,60.257
CRH,Basic Materials,Building Materials,74330587136.0,20.599998,16.661524,3.2221065,1.4,1.187,,,0.060500003,0.15812,0.091,83.227
CRWD,Technology,Software - Infrastructure,174341259264.0,,109.58058,37.619335,,1.244,,,-0.0100300005,-0.0024899999,0.256,17.568
CCI,Real Estate,REIT - Specialty,35810885632.0,34.620255,27.706959,-18.630793,5.18,0.948,,,0.04048,,-0.048,
CSX,Industrials,Railroads,84786880512.0,27.993866,21.031527,6.244697,1.23,1.222,,,0.07084,0.23684,0.017,143.06
CMI,Industrials,Specialty Industrial Machinery,98918842368.0,37.181534,21.133451,8.008982,1.12,1.24,,,0.07273,0.21993999,0.027,61.621
CVS,Healthcare,Healthcare Plans,125449175040.0,43.122807,11.727995,1.6159092,2.71,0.623,,,0.026659999,0.037520003,0.061,100.912
DHR,Healthcare,Diagnostics & Research,125395722240.0,34.335274,19.1531,2.368013,0.9,0.834,,,0.0419,0.0708,0.037,37.17
DRI,Consumer Cyclical,Restaurants,24447496192.0,22.46842,18.753952,11.635957,2.81,0.587,,,0.07255,0.51539004,0.059,387.681
DDOG,Technology,Software - Application,79379120128.0,586.8421,78.062645,19.896502,,1.553,,,-0.0021600001,0.039300002,0.322,32.221
DVA,Healthcare,Medical Care Facilities,13344703488.0,20.049181,12.100679,-18.213755,,0.908,,,0.07496,0.80981004,0.06,1261.331
DECK,Consumer Cyclical,Footwear & Accessories,15153301504.0,15.542735,13.149792,6.110209,,1.146,,,0.2175,0.40859002,0.096,15.01
DE,Industrials,Farm & Heavy Construction Machinery,159057936384.0,33.328053,25.782728,5.8037763,1.1,0.928,,,0.03828,0.18349001,-0.111,376.022
DELL,Technology,Computer Hardware,264595308544.0,32.681564,19.180435,-189.32037,0.62,1.378,,,0.07004,,0.875,
DAL,Industrials,Airlines,55305785344.0,12.289051,10.44413,2.6995478,0.89,1.313,,,0.04341,0.2499,0.129,105.021
DVN,Energy,Oil & Gas E&P,48581337088.0,11.732591,7.783079,1.6953791,2.47,0.419,,,0.060739998,0.15178001,-0.008,56.404
DXCM,Healthcare,Medical Devices,27964215296.0,31.103006,23.50945,9.458365,,1.443,,,0.09651,0.35624,0.15,46.833
FANG,Energy,Oil & Gas E&P,51620990976.0,189.17525,10.416259,1.4153162,2.4,0.391,,,-0.00122,0.0047400002,0.042,32.594
DLR,Real Estate,REIT - Specialty,67301076992.0,50.03989,65.69162,2.9001033,2.59,1.046,,,0.01255,0.05688,0.167,76.592
DG,Consumer Defensive,Discount Stores,25025554432.0,16.046675,14.178963,2.8298826,2.08,0.256,,,0.04632,0.1891,0.034,178.649
DLTR,Consumer Defensive,Discount Stores,21456293888.0,17.921349,14.6068,6.1569424,,0.659,,,0.067389995,0.33976,0.072,216.518
D,Utilities,Utilities - Regulated Electric,60167454720.0,20.179941,17.934576,2.1356769,3.9,0.642,,,0.03086,0.09787,0.231,154.901
DPZ,Consumer Cyclical,Restaurants,10393336832.0,17.989061,14.923655,-2.6796389,2.55,0.971,,,0.32489,,0.035,
DASH,Consumer Cyclical,Internet Retail,75579768832.0,81.82076,22.183403,7.4153557,,1.811,,,0.03309,0.09922,0.331,32.194
DOV,Industrials,Specialty Industrial Machinery,30106251264.0,27.94625,19.330936,4.0195975,0.93,1.173,,,0.07056,0.14998001,0.101,43.927
DOW,Basic Materials,Chemicals,22869125120.0,,14.615182,1.49974,4.41,0.405,,,-0.00135,-0.15262,-0.061,117.133
DHI,Consumer Cyclical,Residential Construction,44751699968.0,14.817841,13.113885,1.9032744,1.14,1.382,,,0.07298,0.13084,-0.023,27.453
DTE,Utilities,Utilities - Regulated Electric,30696658944.0,24.269737,17.668217,2.4910107,3.11,0.393,,,0.027780002,0.10423,0.158,218.787
DUK,Utilities,Utilities - Regulated Electric,96560791552.0,19.055386,17.277887,1.8017048,3.44,0.379,,,0.02782,0.09661,0.113,161.495
DD,Basic Materials,Specialty Chemicals,19325327360.0,125.55263,18.249487,1.3927892,1.68,1.076,,,0.01983,0.00896,0.043,22.594
ETN,Industrials,Specialty Industrial Machinery,163773284352.0,41.309498,26.827286,8.304521,1.04,1.192,,,0.07022,0.20844999,0.168,110.463
EBAY,Consumer Cyclical,Internet Retail,48058560512.0,24.99769,16.004707,10.942175,1.15,1.372,,,0.085930005,0.42875,0.195,163.327
SATS,Communication Services,Telecom Services,31638939648.0,,-957.6316,5.60824,,0.963,,,0.00397,-1.1228399,-0.052,515.06
ECL,Basic Materials,Specialty Chemicals,75740463104.0,36.367565,28.023232,7.5710344,1.09,0.913,,,0.08009,0.22427,0.1,92.369
EIX,Utilities,Utilities - Regulated Electric,27662837760.0,7.8141303,11.037806,1.6048666,4.88,0.661,,,0.039,0.18864,0.077,226.101
EW,Healthcare,Medical Devices,50301886464.0,47.221622,25.94086,4.8807197,,0.866,,,0.08269,0.1046,0.167,6.806
EA,Communication Services,Electronic Gaming & Multimedia,50689413120.0,57.428974,21.051105,7.4928646,0.38,0.645,,,0.05696,0.1349,0.119,27.41
ELV,Healthcare,Healthcare Plans,84367589376.0,16.475826,13.283187,1.923553,1.77,0.682,,,0.03979,0.12086,0.026,72.299
EME,Industrials,Engineering & Construction,37255503872.0,28.092344,25.608877,9.6153145,0.16,1.124,,,0.117539994,0.39229,0.197,13.355
EMR,Industrials,Specialty Industrial Machinery,84384661504.0,34.875,21.021143,4.156253,1.47,1.246,,,0.06678,0.12328,0.029,69.182
ETR,Utilities,Utilities - Regulated Electric,50875809792.0,28.344387,21.947784,2.9325135,2.3,0.497,,,0.027660001,0.10751,0.12,192.883
EOG,Energy,Oil & Gas E&P,69231058944.0,12.793307,8.771373,2.249256,3.14,0.256,,,0.08968,0.18195,0.156,26.873
EQT,Energy,Oil & Gas E&P,31724244992.0,9.624289,10.945283,1.2629796,1.3,0.543,,,0.07727,0.13402,0.499,20.816
EFX,Industrials,Consulting Services,18569283584.0,27.100351,14.989876,4.044297,1.46,1.314,,,0.0627,0.1437,0.143,113.353
EQIX,Real Estate,REIT - Specialty,107716411392.0,75.741325,56.815857,7.5335913,1.8,0.97,,,0.03495,0.10059,0.121,162.961
EQR,Real Estate,REIT - Residential,24762836992.0,25.635998,40.82191,2.2539124,4.38,0.764,,,0.02706,0.08671,0.025,78.42
ERIE,Financial Services,Insurance Brokers,11563381760.0,20.250916,15.784439,4.9132395,2.64,0.307,,,0.14840999,0.2585,0.023,2.108
ESS,Real Estate,REIT - Residential,18865786880.0,30.753933,45.43666,3.2383282,3.79,0.729,,,0.03174,0.105579995,0.064,121.856
EL,Consumer Defensive,Household & Personal Products,30683826176.0,,26.634464,7.684153,1.65,1.249,,,0.04874,-0.05949,0.046,232.908
EG,Financial Services,Insurance - Reinsurance,13281416192.0,6.835642,5.5371733,0.8735905,2.38,0.305,,,0.02655,0.13822,-0.047,23.471
EVRG,Utilities,Utilities - Regulated Electric,19017324544.0,21.94149,18.124102,1.8724041,3.37,0.534,,,0.028970001,0.08866999,0.05,155.555
ES,Utilities,Utilities - Regulated Electric,26171408384.0,14.901498,14.049702,1.582742,4.53,0.727,,,0.03292,0.10912,0.094,181.822
EXC,Utilities,Utilities - Regulated Electric,46873165824.0,16.78022,15.081829,1.5989529,3.67,0.41,,,0.028399998,0.09764,0.079,174.794
EXE,Energy,Oil & Gas E&P,20808126464.0,6.4717264,9.079047,1.0683798,3.67,0.322,,,0.09668,0.17568001,0.41,25.883
EXPE,Consumer Cyclical,Travel Services,28913317888.0,21.280918,10.429601,50.187496,0.73,1.257,,,0.05825,0.71494,0.147,256.536
EXPD,Industrials,Integrated Freight & Logistics,21099227136.0,26.06139,23.646055,9.323239,1.0,1.047,,,0.14173001,0.36641,0.044,24.708
EXR,Real Estate,REIT - Industrial,32073447424.0,32.65843,30.635452,2.302148,4.46,1.206,,,0.03375,0.0683,0.038,98.092
XOM,Energy,Oil & Gas Integrated,571215183872.0,23.200336,12.934332,2.2202709,2.99,0.149,,,0.04221,0.09873,0.026,18.261
FFIV,Technology,Software - Infrastructure,21749055488.0,31.649424,21.791752,5.9946194,,1.046,,,0.081520006,0.2034,0.11,7.12
FDS,Financial Services,Financial Data & Stock Exchanges,8061843968.0,14.249195,11.413472,3.8082533,2.1,0.707,,,0.109139994,0.28084,0.071,72.972
FICO,Technology,Software - Application,25428363264.0,34.720707,20.144415,-12.153537,,1.283,,,0.36918,,0.387,
FAST,Industrials,Industrial Distribution,52683329536.0,40.61062,33.479977,13.205755,2.0,0.729,,,0.21195999,0.33842,0.124,11.167
FRT,Real Estate,REIT - Retail,10464106496.0,20.864819,38.774693,3.3002548,3.75,0.94,,,0.033210002,0.14783,0.103,138.432
FDX,Industrials,Integrated Freight & Logistics,77833527296.0,17.425215,16.725529,2.6158152,1.5,1.299,,,0.050279997,0.15869,0.083,140.994
FDXF,Industrials,Integrated Freight & Logistics,24249368576.0,35.712723,31.093079,0.0017013164,,,,,,,-0.047,
FIS,Technology,Information Technology Services,19749951488.0,7.405039,5.5786724,1.2364495,4.4,0.802,,,0.040700004,0.17225,0.301,132.328
